,Bilstm,EN-DE,Gru,Lstm,Rnn,Transformer-Bilstm,Transformer-Lstm,Transformer
rmse,1.15,1.33,1.23,1.3,1.36,0.78,0.98,1.3
mae,0.88,1.04,0.94,1.01,1.1,0.54,0.7,1.03
